LOCATION,TIME,AGR,INDUSTRY
EST,2012,1.19640439,15.62991563
EST,2013,1.208806428,15.40626675
EST,2014,1.201754785,15.5176769
EST,2015,1.196231998,15.69481191
EST,2016,1.23200068,15.79930746
FIN,2008,0.588663388,16.24487927
FIN,2009,0.655518226,16.0406194
FIN,2010,0.687568757,15.41070774
FIN,2011,0.657655438,15.48980957
FIN,2012,0.674527454,15.67942836
FIN,2013,0.667992366,15.17868367
FIN,2014,0.663890568,14.81916751
FIN,2015,0.645400347,14.71590218
FIN,2016,0.589284079,14.68308475
FRA,2008,0.461955992,12.11507147
FRA,2009,0.464192268,12.17734472
FRA,2010,0.468577698,11.93298989
FRA,2011,0.464991041,11.84505201
FRA,2012,0.483653153,11.84515199
FRA,2013,0.50228989,11.79640952
FRA,2014,0.505798738,11.70235534
FRA,2015,0.493495275,11.39006857
FRA,2016,0.499160537,11.25914438
GBR,2008,0.280881694,11.65669578
GBR,2009,0.298217375,11.5168505
GBR,2010,0.297743786,11.51032188
GBR,2011,0.294827326,11.54885455
GBR,2012,0.296137789,11.4023343
GBR,2013,0.301579489,11.45739982
GBR,2014,0.289676956,10.99466536
GBR,2015,0.286776301,10.92794567
GBR,2016,0.28757145,10.96057551
GRC,2008,0.525484231,7.749735167
GRC,2009,0.456686517,7.399484777
GRC,2010,0.484151889,7.358079965
GRC,2011,0.507818228,7.187854507
GRC,2012,0.509935809,6.287082467
GRC,2013,0.508965954,5.966856945
GRC,2014,0.499243571,5.854158238
GRC,2015,0.490756791,5.707998195
GRC,2016,0.488119402,5.810857858
HUN,2008,1.147673363,14.91177401
HUN,2009,1.150702283,14.41167612
HUN,2010,1.139279182,14.19053658
HUN,2011,1.192611971,14.57715466
HUN,2012,1.285223213,14.79323417
HUN,2013,1.276819861,14.24712091
HUN,2014,1.324660307,14.05186652
HUN,2015,1.133060949,13.53167386
HUN,2016,1.131692504,13.88325967
IRL,2008,0.340030147,12.49729332
IRL,2009,0.376745605,10.74242523
IRL,2010,0.408098038,9.345845543
IRL,2011,0.397068896,8.868441159
IRL,2012,0.390640705,8.433106783
IRL,2013,0.41584278,8.46652589
IRL,2014,0.406798379,8.280145705
IRL,2015,0.274778063,6.546055288
IRL,2016,0.267855048,6.760418336
ISL,2008,3.052291994,13.86776898
ISL,2009,3.3670613,10.66570172
ISL,2010,3.939128333,10.65277756
ISL,2011,4.244130562,11.27102684
ISL,2012,4.229336534,11.74930633
ISL,2013,3.988393868,11.95110927
ISL,2014,3.581952461,12.42396875
ISL,2015,3.476422256,12.19373337
ISL,2016,3.174584059,12.79142394
ISR,2008,0.785072426,12.19624873
ISR,2009,0.757852765,11.57605058
ISR,2010,0.74396435,11.5418982
ISR,2011,0.753940878,11.58776892
ISR,2012,0.735972336,11.27665852
ISR,2013,0.704238213,10.96055168
ISR,2014,0.688154334,10.80789106
ISR,2015,0.675977309,10.53883869
ISR,2016,0.627702692,10.39332507
ITA,2008,0.520079226,13.03599184
ITA,2009,0.541827662,12.79690034
ITA,2010,0.557153612,12.62853574
ITA,2011,0.561763479,12.66622328
ITA,2012,0.572028997,12.54619235
ITA,2013,0.561136055,12.31433757
ITA,2014,0.577682673,12.12930577
ITA,2015,0.591324029,12.16795717
ITA,2016,0.617761217,12.13920583
JPN,2008,0.354962745,15.83600921
JPN,2009,0.395005918,15.45157455
JPN,2010,0.378654163,15.11345
JPN,2011,0.448791194,15.41936433
JPN,2012,0.428344243,15.05807731
JPN,2013,0.429333446,14.56564357
JPN,2014,0.444789069,14.53894096
JPN,2015,0.428245228,14.14591238
JPN,2016,0.434069678,14.17477444
KOR,2008,0.305021543,17.60794774
KOR,2009,0.351562444,17.09661098
KOR,2010,0.334906933,17.05447471
KOR,2011,0.342871916,17.20765595
KOR,2012,0.339149149,17.6525442
KOR,2013,0.333530739,17.92077611
KOR,2014,0.315635183,18.06710281
KOR,2015,0.320809931,18.11597639
KOR,2016,0.319888784,18.3639209
LTU,2008,1.153597077,15.45752274
LTU,2009,1.248406776,13.21472628
LTU,2010,1.179354258,12.42444443
LTU,2011,1.290386711,12.12207566
LTU,2012,1.180809701,12.02926626
LTU,2013,1.172250799,12.04609519
LTU,2014,1.200877504,12.44637581
LTU,2015,1.220980956,13.09940675
LTU,2016,1.141452379,13.56503654
LUX,2008,0.085668327,10.32855489
LUX,2009,0.092439706,10.70871588
LUX,2010,0.093020599,9.759514286
LUX,2011,0.092384852,9.370803893
LUX,2012,0.09668322,9.327348588
LUX,2013,0.092358321,8.941724968
LUX,2014,0.093081548,8.561182592
LUX,2015,0.090181217,8.395651391
LUX,2016,0.093470937,8.466070887
LVA,2008,1.213462631,14.20114554
LVA,2009,1.3307381,11.90472548
LVA,2010,1.39577348,11.43106492
LVA,2011,1.273930655,10.41249221
LVA,2012,1.230211236,10.77530172
LVA,2013,1.24139965,11.26194758
LVA,2014,1.471962278,11.57204098
LVA,2015,1.539285014,11.84438099
LVA,2016,1.626563334,12.09906466
MEX,2008,0.548831155,8.14742733
MEX,2009,0.585807236,8.17984654
MEX,2010,0.58115873,7.626129012
MEX,2011,0.538918974,7.421671351
MEX,2012,0.538927538,7.386670168
MEX,2013,0.55921786,7.634789504
MEX,2014,0.565164275,7.542812294
MEX,2015,0.577903072,7.608691882
MEX,2016,0.590634159,7.370510221
NLD,2008,0.445447173,10.79408009
NLD,2009,0.462895235,11.23699405
NLD,2010,0.458470789,10.53390799
NLD,2011,0.461878224,10.51208613
NLD,2012,0.469141808,10.51689527
NLD,2013,0.474398294,10.2777235
NLD,2014,0.468519318,10.22138751
NLD,2015,0.453506259,9.839573584
NLD,2016,0.460040061,9.796175154
NOR,2008,0.341073677,11.70045819
NOR,2009,0.380107055,12.67100324
NOR,2010,0.398944978,11.95635847
NOR,2011,0.39664878,11.86827214
NOR,2012,0.38818066,12.16481117
NOR,2013,0.391289647,12.61602225
NOR,2014,0.410354668,12.90499337
NOR,2015,0.444387438,13.13836108
NOR,2016,0.480623702,13.07519053
POL,2008,0.72600659,15.30833702
POL,2009,0.713549239,14.11165333
POL,2010,0.667020062,14.30612925
POL,2011,0.698055945,14.21573647
POL,2012,0.728566412,14.04343275
POL,2013,0.714656231,13.79071695
POL,2014,0.736915617,13.94375756
POL,2015,0.694953413,13.70017903
POL,2016,0.718301252,14.22992457
PRT,2008,0.594904263,13.06116966
PRT,2009,0.593765421,12.19807246
PRT,2010,0.591260971,12.0460248
PRT,2011,0.585312358,11.97348497
PRT,2012,0.610081757,11.45619854
PRT,2013,0.617033309,10.95864579
PRT,2014,0.636779418,10.87663248
PRT,2015,0.649138048,10.86222906
PRT,2016,0.663225439,10.9665555
SVK,2008,0.951784826,13.24732711
SVK,2009,0.959752058,12.8732725
SVK,2010,0.897460821,12.55195154
SVK,2011,0.916132572,12.7529712
SVK,2012,0.875641885,12.7267756
SVK,2013,0.91546282,12.69141046
SVK,2014,0.889937736,12.9700792
SVK,2015,0.909226281,13.24810506
SVK,2016,0.897353471,13.6575872
SVN,2008,0.376848183,19.45287067
SVN,2009,0.389322249,18.93767313
SVN,2010,0.374377655,18.95653537
SVN,2011,0.346466535,18.4676016
SVN,2012,0.350155506,18.73106942
SVN,2013,0.332291902,18.53213238
SVN,2014,0.33663523,18.47035205
SVN,2015,0.339204882,18.42610974
SVN,2016,0.306147735,18.48938565
SWE,2008,0.509757825,13.46713863
SWE,2009,0.548032489,13.28956276
SWE,2010,0.535739616,12.57207685
SWE,2011,0.528587177,12.81746336
SWE,2012,0.520286726,13.001575
SWE,2013,0.528193732,12.80573558
SWE,2014,0.524279435,12.57920761
SWE,2015,0.494494667,11.79969552
SWE,2016,0.484045625,11.67441011
TUR,2008,0.246999404,9.196271713
TUR,2009,0.271644678,8.850798002
TUR,2010,0.28333769,9.166582082
TUR,2011,0.28784054,9.090787234
TUR,2012,0.324292088,9.400742069
TUR,2013,0.323989449,9.609413162
TUR,2014,0.320576772,9.83154532
TUR,2015,0.322621321,10.03722546
TUR,2016,0.362145104,11.16992305
USA,2008,0.296082684,10.71696476
USA,2009,0.301876822,9.706704329
USA,2010,0.284997454,9.35440462
USA,2011,0.272887492,9.358508136
USA,2012,0.305957983,9.387877364
USA,2013,0.299120994,9.333991499
USA,2014,0.299658568,9.455745946
USA,2015,0.28834266,9.444703608
USA,2016,0.299839315,9.318897968
ZAF,2008,0.779528227,14.13482382
ZAF,2009,0.80763381,14.16910429
ZAF,2010,0.781366383,14.36784224
ZAF,2011,0.737784493,14.30596338
ZAF,2012,0.730647145,14.61271087
ZAF,2013,0.725935088,14.8254288
ZAF,2014,0.739602437,14.83465906
ZAF,2015,0.738999338,15.03690159
ZAF,2016,0.730179948,15.1092401
