latitude,longitude,value,value1
56.879635,24.603189,1.638468612,1.638468612
26.3351,17.228331,3.974665883,3.974665883
31.791702,-7.09262,8.045089979,8.045089979
43.750298,7.412841,6.47886737,6.47886737
47.411631,28.369885,7.0398197,7.0398197
42.708678,19.37439,4.312956155,4.312956155
-18.766947,46.869107,3.998261158,3.998261158
7.131474,171.184478,7.467936984,7.467936984
41.608635,21.745275,3.484806333,3.484806333
17.570692,-3.996166,7.202952418,7.202952418
21.913965,95.956223,4.979350379,4.979350379
46.862496,103.846656,7.750598197,7.750598197
22.198745,113.543873,4.194417031,4.194417031
17.33083,145.38469,8.069682431,8.069682431
14.641528,-61.024174,8.221014985,8.221014985
21.00789,-10.940835,8.0409505,8.0409505
16.742498,-62.187366,1.702867197,1.702867197
35.937496,14.375416,7.873656525,7.873656525
-20.348404,57.552152,7.230441181,7.230441181
3.202778,73.22068,6.60803578,6.60803578
-13.254308,34.301525,1.75958741,1.75958741
23.634501,-102.552784,0.975345862,0.975345862
4.210484,101.975766,7.656020673,7.656020673
-18.665695,35.529562,6.615970308,6.615970308
-22.95764,18.49041,4.993823536,4.993823536
-20.904305,165.618042,0.447811562,0.447811562
17.607789,8.081666,7.530175966,7.530175966
-29.040835,167.954712,9.356929753,9.356929753
9.081999,8.675277,7.241503848,7.241503848
12.865416,-85.207229,5.348153634,5.348153634
52.132633,5.291266,4.316481464,4.316481464
60.472024,8.468946,4.216690592,4.216690592
28.394857,84.124008,1.796256628,1.796256628
-0.522778,166.931503,9.628551793,9.628551793
-19.054445,-169.867233,6.682022845,6.682022845
-40.900557,174.885971,8.212735242,8.212735242
21.512583,55.923255,7.178369951,7.178369951
8.537981,-80.782127,6.6194224,6.6194224
-9.189967,-75.015152,0.959533716,0.959533716
-17.679742,-149.406843,6.528621754,6.528621754
-6.314993,143.95555,8.579134779,8.579134779
12.879721,121.774017,9.345567138,9.345567138
30.375321,69.345116,0.920361391,0.920361391
51.919438,19.145136,9.240391412,9.240391412
46.941936,-56.27111,2.067848701,2.067848701
-24.703615,-127.439308,1.97612785,1.97612785
18.220833,-66.590149,4.247398345,4.247398345
31.952162,35.233154,8.094975003,8.094975003
39.399872,-8.224454,2.471380959,2.471380959
7.51498,134.58252,9.35206146,9.35206146
-23.442503,-58.443832,3.522878106,3.522878106
25.354826,51.183884,5.005626343,5.005626343
-21.115141,55.536384,3.953740872,3.953740872
45.943161,24.96676,5.943402528,5.943402528
44.016521,21.005859,0.096036228,0.096036228
61.52401,105.318756,6.052794766,6.052794766
-1.940278,29.873888,4.688902428,4.688902428
23.885942,45.079162,5.735006348,5.735006348
-9.64571,160.156194,4.995912888,4.995912888
-4.679574,55.491977,8.177661765,8.177661765
12.862807,30.217636,9.980697955,9.980697955
60.128161,18.643501,1.286115742,1.286115742
1.352083,103.819836,0.019853742,0.019853742
-24.143474,-10.030696,5.157186556,5.157186556
46.151241,14.995463,4.23474917,4.23474917
77.553604,23.670272,6.53203401,6.53203401
48.669026,19.699024,8.467701961,8.467701961
8.460555,-11.779889,6.926813421,6.926813421
43.94236,12.457777,3.257492746,3.257492746
14.497401,-14.452362,8.554373166,8.554373166
5.152149,46.199616,6.460100655,6.460100655
3.919305,-56.027783,0.244307063,0.244307063
0.18636,6.613081,4.313549227,4.313549227
13.794185,-88.89653,1.142170327,1.142170327
34.802075,38.996815,4.734038587,4.734038587
-26.522503,31.465866,1.735362308,1.735362308
21.694025,-71.797928,1.597336972,1.597336972
15.454166,18.732207,4.47104064,4.47104064
-49.280366,69.348557,2.052070525,2.052070525
8.619543,0.824782,6.447248245,6.447248245
15.870032,100.992541,1.639590675,1.639590675
38.861034,71.276093,3.960189077,3.960189077
-8.967363,-171.855881,9.260324934,9.260324934
-8.874217,125.727539,4.159652359,4.159652359
38.969719,59.556278,9.382407716,9.382407716
33.886917,9.537499,5.846681261,5.846681261
-21.178986,-175.198242,4.207505975,4.207505975
38.963745,35.243322,7.847617825,7.847617825
10.691803,-61.222503,6.965020441,6.965020441
-7.109535,177.64933,7.691854804,7.691854804
23.69781,120.960515,8.753478619,8.753478619
-6.369028,34.888822,9.648508144,9.648508144
48.379433,31.16558,8.900288466,8.900288466
1.373333,32.290275,3.687717206,3.687717206
37.09024,-95.712891,5.311181173,5.311181173
-32.522779,-55.765835,0.312445699,0.312445699
41.377491,64.585262,4.008922981,4.008922981
41.902916,12.453389,3.784013926,3.784013926
12.984305,-61.287228,1.60111499,1.60111499
6.42375,-66.58973,5.698087014,5.698087014
18.420695,-64.639968,0.285221178,0.285221178
18.335765,-64.896335,3.767345106,3.767345106
14.058324,108.277199,1.615324156,1.615324156
-15.376706,166.959158,2.897463747,2.897463747
-13.768752,-177.156097,1.006017635,1.006017635
-13.759029,-172.104629,5.8710562,5.8710562
42.602636,20.902977,4.124090081,4.124090081
15.552727,48.516388,4.95048304,4.95048304
-12.8275,45.166244,5.053132269,5.053132269
-30.559482,22.937506,2.255837734,2.255837734
-13.133897,27.849332,2.929047609,2.929047609
-19.015438,29.154857,3.486139276,3.486139276
